"","leadGram","gram","Record"
"15893","and","for",138
"23004","than","i",138
"152","so","far",137
"424","but","she",137
"1428","what","he",137
"2720","to","stop",137
"5927","we","dont",137
"7551","its","the",137
"8066","be","in",137
"12051","of","life",137
"13692","my","mom",137
"27197","and","said",137
"1745","you","could",136
"3896","while","i",136
"6133","against","the",136
"19476","her","and",136
"805","they","can",135
"3629","the","big",135
"3656","you","get",135
"4467","the","old",135
"8191","think","about",135
"9639","the","year",135
"14106","this","week",135
"20258","you","do",135
"195","is","my",134
"707","my","head",134
"6356","you","see",134
"7953","in","one",134
"8458","i","should",134
"9841","was","also",134
"10806","on","their",134
"13817","of","its",134
"14290","it","comes",134
"14804","theres","a",134
"15371","the","game",134
"25560","you","may",134
"2853","a","large",133
"3412","i","find",133
"4284","made","me",133
"4533","any","of",133
"6539","for","those",133
"8668","only","one",133
"11140","out","in",133
"14369","you","need",133
"14644","one","thing",133
"234","what","was",132
"857","for","that",132
"5425","so","it",132
"8000","lack","of",132
"10302","many","people",132
"12281","better","than",132
"14952","could","not",132
"115","last","week",131
"308","i","tried",131
"1105","as","if",131
"2333","all","over",131
"14991","the","things",131
"15493","home","and",131
"378","and","has",130
"1247","he","could",130
"1296","to","show",130
"1546","with","their",130
"1887","up","for",130
"1983","the","city",130
"3560","make","sure",130
"4254","it","but",130
"4342","me","i",130
"6050","live","in",130
"7738","it","out",130
"9629","these","are",130
"17848","in","some",130
"2240","i","always",129
"2862","think","it",129
"3486","for","them",129
"3789","that","in",129
"3809","talk","about",129
"4958","seemed","to",129
"5280","have","had",129
"5837","talking","about",129
"5893","to","let",129
"8160","for","our",129
"12262","a","different",129
"13132","ready","to",129
"13902","continue","to",129
"16261","the","case",129
"19708","not","just",129
"3703","type","of",128
"6187","it","with",128
"9936","i","havent",128
"11409","along","the",128
"4240","a","nice",127
"11770","in","which",127
"16990","can","do",127
"17","and","as",126
"1319","it","for",126
"4500","of","time",126
"8927","was","on",126
"15034","then","the",126
"29126","high","school",126
"197","long","time",125
"2618","didnt","have",125
"5183","i","see",125
"8937","at","me",125
"13606","love","and",125
"13860","are","in",125
"17218","on","our",125
"20293","the","main",125
"1367","take","the",124
"3791","would","not",124
"7980","i","came",124
"8291","i","asked",124
"11895","not","sure",124
"1161","the","problem",123
"1215","there","and",123
"2140","across","the",123
"2328","you","and",123
"2488","next","to",123
"3315","on","and",123
"6236","to","stay",123
"7594","idea","of",123
"8306","about","my",123
"14188","to","leave",123
"15582","this","point",123
"16459","to","learn",123
"19610","are","all",123
"19871","looked","at",123
"25894","the","water",123
"27084","why","i",123
"188","took","a",122
"384","is","now",122
"1492","to","that",122
"1759","are","so",122
"2585","one","that",122
"3540","if","she",122
"5963","the","church",122
"6536","to","change",122
"9598","piece","of",122
"10446","deal","with",122
"12166","was","able",122
"12847","and","now",122
"17433","were","in",122
"22537","close","to",122
"114","gave","me",121
"3790","with","that",121
"7115","we","would",121
"7348","a","whole",121
"8039","no","idea",121
"11033","them","in",121
"13245","pretty","much",121
"19815","at","my",121
"25201","who","has",121
"25715","if","youre",121
"542","he","didnt",120
"1510","managed","to",120
"1766","she","said",120
"2283","it","just",120
"4277","same","time",120
"4863","they","dont",120
"6738","but","there",120
"11423","know","the",120
"12300","after","all",120
"13394","into","my",120
"13471","about","how",120
"18240","my","mother",120
"7688","the","th",119
"9013","last","night",119
"13696","us","and",119
"14368","we","do",119
"20722","on","your",119
"3930","though","i",118
"9249","it","had",118
"14750","but","a",118
"17690","it","doesnt",118
"24795","to","meet",118
"566","for","years",117
"818","the","state",117
"2323","no","matter",117
"5801","a","better",117
"5999","the","beginning",117
"6302","didnt","know",117
"7118","you","would",117
"12673","people","are",117
"15469","way","of",117
"31407","they","would",117
"44207","and","will",117
"3229","the","good",116
"3687","was","one",116
"8189","the","moment",116
"9571","a","month",116
"10405","and","no",116
"3994","a","more",115
"4213","she","would",115
"5083","now","that",115
"6369","to","pay",115
"10799","and","get",115
"12638","a","child",115
"14361","it","on",115
"14747","time","in",115
"16800","we","get",115
"17161","looking","at",115
"25058","as","she",115
"27797","he","will",115
"225","how","many",114
"594","day","i",114
"844","or","so",114
"2086","are","going",114
"5154","to","share",114
"5171","quite","a",114
"6377","for","your",114
"7676","but","im",114
"10686","has","the",114
"12151","it","can",114
"1711","then","we",113
"3026","to","an",113
"4176","the","great",113
"4333","thing","that",113
"6358","but","you",113
"6927","year","old",113
"7160","at","first",113
"7733","who","have",113
"9703","and","be",113
"12061","in","its",113
"14658","a","book",113
"17432","we","know",113
"18813","life","and",113
"1549","you","were",112
"3507","to","talk",112
"6614","was","really",112
"6915","here","in",112
"10807","people","in",112
"90","the","process",111
"2869","i","read",111
"4380","thank","you",111
"10916","love","to",111
"12230","until","the",111
"13567","to","move",111
"14852","just","to",111
"14876","of","things",111
"1130","can","get",110
"1165","we","need",110
"2481","the","ground",110
"3533","the","hospital",110
"3825","was","still",110
"4905","a","bad",110
"6058","to","bring",110
"8273","is","more",110
"8871","in","any",110
"15286","out","that",110
"493","should","have",109
"1284","to","hear",109
"1424","needs","to",109
"2912","that","were",109
"5130","an","hour",109
"7239","on","that",109
"7499","in","to",109
"9041","less","than",109
"10046","even","the",109
"10932","in","love",109
"13435","some","people",109
"18048","made","the",109
"24601","to","buy",109
"1488","that","its",108
"3943","he","can",108
"4417","the","music",108
"4565","the","name",108
"9979","just","the",108
"10742","ability","to",108
"10940","they","do",108
"13755","and","our",108
"13899","use","the",108
"15678","were","all",108
"586","the","country",107
"605","that","one",107
"1326","a","part",107
"2299","know","i",107
"3190","while","the",107
"3468","out","on",107
"5594","how","the",107
"7224","were","not",107
"7879","here","is",107
"16033","work","and",107
"1919","also","a",106
"2941","a","woman",106
"4147","i","needed",106
"4526","until","i",106
"5633","to","watch",106
"6264","go","back",106
"10166","may","have",106
"10664","years","of",106
"12144","is","all",106
"27579","its","just",106
"158","all","my",105
"385","now","and",105
"5904","every","time",105
"5907","i","say",105
"6246","thing","i",105
"7843","im","sure",105
"9589","something","to",105
"9800","do","i",105
"10749","the","truth",105
"11310","read","the",105
"12486","to","call",105
"12659","you","cant",105
"13851","the","family",105
"15823","or","even",105
"17572","what","to",105
"19659","care","of",105
"21552","to","feel",105
"29238","we","did",105
"31866","do","the",105
"14","your","own",104
"896","in","other",104
"950","the","morning",104
"1637","the","room",104
"2122","is","something",104
"3003","and","let",104
"5998","see","that",104
"7066","and","one",104
"7730","since","the",104
"9569","the","floor",104
"18554","a","really",104
"901","was","about",103
"2876","this","morning",103
"3750","but","if",103
"3787","see","how",103
"6176","me","for",103
"7719","the","doctor",103
"12424","forward","to",103
"15291","the","front",103
"15345","it","does",103
"15372","time","for",103
"16102","felt","like",103
"17155","may","not",103
"17495","have","an",103
"2150","the","bottom",102
"3275","a","single",102
"3888","day","and",102
"5967","to","all",102
"8350","for","one",102
"9358","see","a",102
"23960","you","think",102
"244","the","place",101
"719","filled","with",101
"1377","over","to",101
"3381","thought","i",101
"6068","that","can",101
"6716","were","a",101
"7442","only","a",101
"8420","throughout","the",101
"8941","i","wish",101
"14990","the","future",101
"18455","of","how",101
"28665","i","looked",101
"691","i","must",100
"3607","a","number",100
"8268","the","table",100
"8407","not","even",100
"9871","my","family",100
"10214","not","that",100
"17473","not","in",100
"17905","our","lives",100
"19566","people","to",100
"21347","working","on",100
"32929","long","as",100
"22","do","this",99
"1285","went","on",99
"2355","waiting","for",99
"4812","because","we",99
"5322","to","run",99
"6016","is","about",99
"6212","makes","me",99
"7272","few","days",99
"11910","next","day",99
"14174","a","friend",99
"15222","me","with",99
"17013","i","might",99
"19996","it","may",99
"3615","out","a",98
"4706","important","to",98
"5481","here","and",98
"6701","the","final",98
"7489","interested","in",98
"10095","it","makes",98
"10883","willing","to",98
"18190","other","than",98
"1096","its","own",97
"1313","took","the",97
"2728","that","if",97
"3741","plenty","of",97
"5356","the","show",97
"7249","im","going",97
"8757","of","which",97
"9554","he","does",97
"15562","a","second",97
"17913","our","own",97
"25737","just","like",97
