"","X","Combo","Record","leadGram","gram"
"346",114761,"the size of the",13,"the size of","the"
"347",116696,"should be able to",13,"should be able","to"
"348",122276,"im going to be",13,"im going to","be"
"349",148238,"i think i have",13,"i think i","have"
"350",158463,"as well as a",13,"as well as","a"
"351",165026,"get me wrong i",13,"get me wrong","i"
"352",171267,"i still have a",13,"i still have","a"
"353",179058,"believe it or not",13,"believe it or","not"
"354",207574,"to be in the",13,"to be in","the"
"355",220776,"was a lot of",13,"was a lot","of"
"356",239439,"they were going to",13,"they were going","to"
"357",243648,"its going to be",13,"its going to","be"
"358",1294,"way back to the",12,"way back to","the"
"359",8621,"and i want to",12,"and i want","to"
"360",10311,"i dont think ive",12,"i dont think","ive"
"361",11186,"what i was doing",12,"what i was","doing"
"362",14252,"was one of those",12,"was one of","those"
"363",14756,"i am not a",12,"i am not","a"
"364",16413,"is that it is",12,"is that it","is"
"365",16762,"other side of the",12,"other side of","the"
"366",18399,"it was a little",12,"it was a","little"
"367",19977,"but in the end",12,"but in the","end"
"368",19982,"i did not want",12,"i did not","want"
"369",20154,"time in my life",12,"time in my","life"
"370",20184,"i feel like im",12,"i feel like","im"
"371",21393,"hour and a half",12,"hour and a","half"
"372",22660,"is a bit of",12,"is a bit","of"
"373",26367,"get out of the",12,"get out of","the"
"374",30204,"would be able to",12,"would be able","to"
"375",33369,"that i have been",12,"that i have","been"
"376",34734,"in love with the",12,"in love with","the"
"377",35148,"so that i can",12,"so that i","can"
"378",36368,"it was nice to",12,"it was nice","to"
"379",38732,"i think it was",12,"i think it","was"
"380",41967,"i went to a",12,"i went to","a"
"381",42197,"you dont want to",12,"you dont want","to"
"382",47076,"my wife and i",12,"my wife and","i"
"383",54000,"in the face of",12,"in the face","of"
"384",55433,"do not want to",12,"do not want","to"
"385",55913,"in order to get",12,"in order to","get"
"386",60570,"used to be a",12,"used to be","a"
"387",61035,"i know that i",12,"i know that","i"
"388",62825,"and i have a",12,"and i have","a"
"389",63649,"i will have to",12,"i will have","to"
"390",65904,"there was a lot",12,"there was a","lot"
"391",68855,"with the help of",12,"with the help","of"
"392",69672,"dont know how to",12,"dont know how","to"
"393",71417,"with a bit of",12,"with a bit","of"
"394",72134,"all over the world",12,"all over the","world"
"395",73101,"its one of the",12,"its one of","the"
"396",77422,"you want to be",12,"you want to","be"
"397",78689,"i dont feel like",12,"i dont feel","like"
"398",82651,"i was a kid",12,"i was a","kid"
"399",86124,"in the center of",12,"in the center","of"
"400",89092,"he was able to",12,"he was able","to"
"401",90568,"of the united states",12,"of the united","states"
"402",92979,"why is it that",12,"why is it","that"
"403",99187,"the end of this",12,"the end of","this"
"404",109333,"rest of the world",12,"rest of the","world"
"405",109974,"with the fact that",12,"with the fact","that"
"406",121889,"i decided to take",12,"i decided to","take"
"407",121903,"i was in a",12,"i was in","a"
"408",161446,"as far as i",12,"as far as","i"
"409",162105,"hard for me to",12,"hard for me","to"
"410",170941,"asked me if i",12,"asked me if","i"
"411",185441,"to the fact that",12,"to the fact","that"
"412",186657,"two and a half",12,"two and a","half"
"413",193908,"has to do with",12,"has to do","with"
"414",200972,"to me and i",12,"to me and","i"
"415",205955,"in the parking lot",12,"in the parking","lot"
"416",209172,"the rest of my",12,"the rest of","my"
"417",213543,"i was looking for",12,"i was looking","for"
"418",216605,"what is going on",12,"what is going","on"
"419",266599,"in order to make",12,"in order to","make"
"420",295454,"i have always been",12,"i have always","been"
"421",1053530,"the relay team of",12,"the relay team","of"
"422",465,"but it was a",11,"but it was","a"
"423",817,"what i wanted to",11,"what i wanted","to"
"424",2297,"know that i am",11,"know that i","am"
"425",3032,"had the opportunity to",11,"had the opportunity","to"
"426",4525,"the problem is that",11,"the problem is","that"
"427",4568,"this is going to",11,"this is going","to"
"428",6299,"i thought i was",11,"i thought i","was"
"429",6479,"the last thing i",11,"the last thing","i"
"430",8403,"one of those things",11,"one of those","things"
"431",12994,"i was growing up",11,"i was growing","up"
"432",14173,"i have a few",11,"i have a","few"
"433",14704,"is not to say",11,"is not to","say"
"434",14715,"as soon as we",11,"as soon as","we"
"435",16828,"needless to say i",11,"needless to say","i"
"436",17770,"i found out that",11,"i found out","that"
"437",18071,"as far as the",11,"as far as","the"
"438",18326,"but i have a",11,"but i have","a"
"439",20691,"we dont have to",11,"we dont have","to"
"440",22021,"and i think that",11,"and i think","that"
"441",22926,"you want to know",11,"you want to","know"
"442",24518,"what i want to",11,"what i want","to"
"443",25788,"the last couple of",11,"the last couple","of"
"444",26369,"i managed to get",11,"i managed to","get"
"445",29973,"there seems to be",11,"there seems to","be"
"446",31018,"i had to go",11,"i had to","go"
"447",34038,"that you have to",11,"that you have","to"
"448",34301,"i would have liked",11,"i would have","liked"
"449",34971,"i came up with",11,"i came up","with"
"450",37309,"on the side of",11,"on the side","of"
"451",37708,"think it would be",11,"think it would","be"
"452",37749,"when it came to",11,"when it came","to"
"453",38822,"a huge fan of",11,"a huge fan","of"
"454",39379,"out of the car",11,"out of the","car"
"455",40383,"it is easy to",11,"it is easy","to"
"456",44673,"of the things that",11,"of the things","that"
"457",44784,"the use of the",11,"the use of","the"
"458",45070,"the good news is",11,"the good news","is"
"459",45654,"the best part of",11,"the best part","of"
"460",45784,"have the ability to",11,"have the ability","to"
"461",47468,"and there was no",11,"and there was","no"
"462",47703,"take the time to",11,"take the time","to"
"463",50618,"at the heart of",11,"at the heart","of"
"464",55723,"the part of the",11,"the part of","the"
"465",55836,"it may not be",11,"it may not","be"
"466",56438,"a large number of",11,"a large number","of"
"467",58595,"i have yet to",11,"i have yet","to"
"468",61050,"i want to go",11,"i want to","go"
"469",66142,"not a fan of",11,"not a fan","of"
"470",67584,"the course of the",11,"the course of","the"
"471",68183,"it was going to",11,"it was going","to"
"472",68887,"from all over the",11,"from all over","the"
"473",68924,"may be able to",11,"may be able","to"
"474",69316,"he told me that",11,"he told me","that"
"475",71241,"to do with my",11,"to do with","my"
"476",72915,"it is going to",11,"it is going","to"
"477",75725,"didnt know how to",11,"didnt know how","to"
"478",76570,"to figure out what",11,"to figure out","what"
"479",78691,"i know i have",11,"i know i","have"
"480",78810,"the other day i",11,"the other day","i"
"481",79727,"when i think of",11,"when i think","of"
"482",82397,"the john smiths grand",11,"the john smiths","grand"
"483",83456,"going to have a",11,"going to have","a"
"484",88034,"and that is the",11,"and that is","the"
"485",88662,"lots and lots of",11,"lots and lots","of"
"486",88922,"the first thing i",11,"the first thing","i"
"487",91325,"that a lot of",11,"that a lot","of"
"488",91603,"a bit of an",11,"a bit of","an"
"489",93167,"has always been a",11,"has always been","a"
"490",95056,"i was about to",11,"i was about","to"
"491",109020,"that i would be",11,"that i would","be"
"492",109798,"to be the best",11,"to be the","best"
"493",111812,"all you have to",11,"all you have","to"
"494",113084,"to deal with the",11,"to deal with","the"
"495",116852,"didnt know what to",11,"didnt know what","to"
